Participant ID: sub009 
billboard_image_1 views: 2     total time: 2.91     avg time: 1.46    
billboard_image_10 views: 3     total time: 1.89     avg time: 0.63    
billboard_image_11 views: 4     total time: 3.9      avg time: 0.98    
billboard_image_12 views: 0     total time: 0        avg time: 0       
billboard_image_13 views: 0     total time: 0        avg time: 0       
billboard_image_14 views: 2     total time: 1.83     avg time: 0.91    
billboard_image_15 views: 1     total time: 1.47     avg time: 1.47    
billboard_image_16 views: 0     total time: 0        avg time: 0       
billboard_image_17 views: 0     total time: 0        avg time: 0       
billboard_image_18 views: 2     total time: 0.88     avg time: 0.44    
billboard_image_19 views: 1     total time: 0.77     avg time: 0.77    
billboard_image_2 views: 0     total time: 0        avg time: 0       
billboard_image_20 views: 4     total time: 2.49     avg time: 0.62    
billboard_image_21 views: 4     total time: 2.38     avg time: 0.59    
billboard_image_22 views: 0     total time: 0        avg time: 0       
billboard_image_23 views: 6     total time: 4.73     avg time: 0.79    
billboard_image_24 views: 3     total time: 2.15     avg time: 0.72    
billboard_image_25 views: 3     total time: 1.26     avg time: 0.42    
billboard_image_26 views: 4     total time: 2.99     avg time: 0.75    
billboard_image_27 views: 1     total time: 3.17     avg time: 3.17    
billboard_image_28 views: 0     total time: 0        avg time: 0       
billboard_image_29 views: 4     total time: 3.34     avg time: 0.83    
billboard_image_3 views: 0     total time: 0        avg time: 0       
billboard_image_30 views: 2     total time: 1.39     avg time: 0.7     
billboard_image_31 views: 3     total time: 2.85     avg time: 0.95    
billboard_image_32 views: 3     total time: 1.6      avg time: 0.53    
billboard_image_33 views: 0     total time: 0        avg time: 0       
billboard_image_34 views: 1     total time: 0.59     avg time: 0.59    
billboard_image_35 views: 0     total time: 0        avg time: 0       
billboard_image_36 views: 1     total time: 1.44     avg time: 1.44    
billboard_image_37 views: 0     total time: 0        avg time: 0       
billboard_image_38 views: 3     total time: 2.06     avg time: 0.69    
billboard_image_39 views: 5     total time: 2.21     avg time: 0.44    
billboard_image_4 views: 4     total time: 5.61     avg time: 1.4     
billboard_image_40 views: 2     total time: 2.18     avg time: 1.09    
billboard_image_5 views: 1     total time: 0.82     avg time: 0.82    
billboard_image_6 views: 0     total time: 0        avg time: 0       
billboard_image_7 views: 3     total time: 2.48     avg time: 0.83    
billboard_image_8 views: 3     total time: 1.45     avg time: 0.48    
billboard_image_9 views: 1     total time: 0.86     avg time: 0.86    
check_gaze     views: 5     total time: 4.29     avg time: 0.86    

Time line: 
billboard_image_1 2.38 
billboard_image_1 4.53 
billboard_image_4 17.27 
billboard_image_4 17.80 
billboard_image_4 18.73 
billboard_image_4 22.54 
billboard_image_5 24.55 
billboard_image_2 36.18 
billboard_image_2 37.74 
billboard_image_2 38.66 
billboard_image_8 42.72 
billboard_image_8 43.37 
billboard_image_8 43.91 
billboard_image_9 45.94 
billboard_image_10 53.43 
billboard_image_10 54.90 
billboard_image_10 55.70 
billboard_image_6 59.44 
billboard_image_6 60.40 
billboard_image_6 61.27 
billboard_image_6 62.43 
billboard_image_14 78.11 
billboard_image_14 79.65 
billboard_image_15 81.17 
billboard_image_18 92.82 
billboard_image_20 93.58 
billboard_image_18 94.60 
billboard_image_20 95.34 
billboard_image_20 99.41 
billboard_image_20 100.71 
billboard_image_19 101.63 
billboard_image_21 102.46 
billboard_image_21 105.74 
billboard_image_21 106.84 
billboard_image_23 107.51 
billboard_image_21 108.06 
billboard_image_23 108.80 
billboard_image_23 109.73 
billboard_image_23 110.97 
billboard_image_23 112.23 
billboard_image_23 113.38 
billboard_image_24 114.36 
billboard_image_24 115.49 
billboard_image_24 116.52 
billboard_image_25 120.92 
billboard_image_25 122.49 
billboard_image_25 126.16 
billboard_image_26 128.54 
billboard_image_26 129.21 
billboard_image_26 130.20 
billboard_image_26 131.22 
billboard_image_17 135.78 
billboard_image_29 139.32 
billboard_image_29 140.22 
billboard_image_29 142.90 
billboard_image_29 145.76 
billboard_image_30 152.28 
billboard_image_30 153.18 
billboard_image_31 166.86 
billboard_image_31 168.52 
billboard_image_31 169.64 
billboard_image_32 175.04 
billboard_image_32 175.84 
billboard_image_32 176.36 
billboard_image_34 180.44 
billboard_image_36 192.08 
billboard_image_38 194.16 
billboard_image_38 196.44 
billboard_image_38 198.61 
billboard_image_40 201.52 
billboard_image_39 205.09 
billboard_image_39 205.52 
billboard_image_39 207.28 
billboard_image_39 208.60 
billboard_image_39 209.19 
billboard_image_40 211.27 
