seconds 	point x 	point y 	point z 	position x	position y	position z	pupil diameter	flag    	

0.07    	0.00    	0.00    	0.00    	-3.19   	2.82    	0.60    	3.81    	-       	
0.14    	0.00    	0.00    	0.00    	-3.19   	2.82    	0.60    	3.85    	-       	
0.21    	0.00    	0.00    	0.00    	-3.19   	2.82    	0.60    	3.85    	-       	
0.30    	0.00    	0.00    	0.00    	-3.19   	2.82    	0.60    	3.88    	-       	
0.37    	0.00    	0.00    	0.00    	-3.19   	2.82    	0.60    	3.91    	-       	
0.44    	-8.05   	2.36    	11.89   	-3.19   	2.82    	0.60    	4.02    	-       	
0.52    	-8.02   	2.44    	11.89   	-3.19   	2.82    	0.60    	4.06    	-       	
0.60    	-8.02   	2.37    	11.89   	-3.19   	2.82    	0.60    	4.10    	-       	
0.67    	-8.01   	2.37    	11.89   	-3.19   	2.82    	0.60    	4.13    	-       	
0.74    	-8.02   	2.37    	11.89   	-3.19   	2.82    	0.60    	4.14    	-       	
0.80    	-8.02   	2.35    	11.89   	-3.19   	2.82    	0.60    	4.15    	-       	
0.87    	0.00    	0.00    	0.00    	-3.19   	2.82    	0.60    	4.09    	-       	
0.94    	-29.35  	3.66    	533.92  	-3.19   	2.82    	0.60    	4.09    	-       	
1.02    	-27.65  	3.90    	533.70  	-3.19   	2.82    	0.60    	4.09    	-       	
1.09    	-26.81  	4.58    	532.96  	-3.19   	2.82    	0.60    	4.10    	-       	
1.17    	-26.58  	3.27    	533.72  	-3.19   	2.82    	0.60    	4.14    	-       	
1.24    	-26.27  	2.96    	533.76  	-3.19   	2.82    	0.60    	4.15    	-       	
1.32    	0.00    	0.00    	0.00    	-3.19   	2.82    	0.60    	4.14    	-       	
1.40    	0.00    	0.00    	0.00    	-3.19   	2.82    	0.60    	4.17    	-       	
1.49    	0.00    	0.00    	0.00    	-3.19   	2.82    	0.60    	4.19    	-       	
1.57    	2.86    	5.01    	182.59  	-3.19   	2.82    	0.60    	4.25    	-       	
1.65    	11.95   	4.24    	41.65   	-3.19   	2.82    	0.60    	4.35    	-       	
1.71    	12.30   	3.77    	41.85   	-3.19   	2.82    	0.60    	4.31    	-       	
1.78    	12.25   	3.68    	41.84   	-3.19   	2.82    	0.60    	4.31    	-       	
1.85    	12.40   	3.74    	41.87   	-3.19   	2.82    	0.60    	4.26    	-       	
1.93    	3.62    	2.82    	9.81    	-3.19   	2.82    	0.60    	4.21    	-       	
1.99    	3.64    	2.83    	9.81    	-3.19   	2.82    	0.60    	4.13    	-       	
2.06    	3.65    	2.78    	9.80    	-3.19   	2.82    	0.60    	4.11    	-       	
2.13    	3.64    	2.75    	9.81    	-3.19   	2.82    	0.60    	4.07    	-       	
2.21    	3.62    	2.70    	9.81    	-3.19   	2.82    	0.60    	4.03    	-       	
2.27    	3.79    	2.63    	9.76    	-3.19   	2.82    	0.60    	4.13    	-       	
2.35    	0.00    	0.00    	0.00    	-3.19   	2.82    	0.60    	0.00    	-       	
2.42    	0.00    	0.00    	0.00    	-3.19   	2.82    	0.60    	4.14    	-       	
2.49    	2.81    	5.54    	181.75  	-3.19   	2.82    	0.62    	4.25    	-       	
2.56    	8.71    	2.33    	634.60  	-3.19   	2.82    	0.66    	4.25    	-       	
2.63    	8.84    	2.27    	633.35  	-3.19   	2.82    	0.71    	4.30    	-       	
2.70    	8.39    	0.72    	727.17  	-3.19   	2.82    	0.79    	4.36    	-       	
2.76    	0.00    	0.00    	0.00    	-3.19   	2.82    	0.89    	4.37    	-       	
2.83    	0.00    	0.00    	0.00    	-3.19   	2.82    	0.99    	4.39    	-       	
2.90    	0.00    	0.00    	0.00    	-3.19   	2.82    	1.12    	4.40    	-       	
2.96    	0.00    	0.00    	0.00    	-3.19   	2.82    	1.26    	4.40    	-       	
3.03    	0.00    	0.00    	0.00    	-3.19   	2.82    	1.42    	4.41    	-       	
3.10    	8.95    	0.64    	155.57  	-3.19   	2.82    	1.61    	4.36    	-       	
3.17    	4.45    	0.62    	106.58  	-3.19   	2.82    	1.81    	4.40    	-       	
3.23    	4.60    	0.62    	110.37  	-3.19   	2.82    	2.06    	4.43    	-       	
3.31    	4.72    	0.65    	113.21  	-3.19   	2.82    	2.27    	4.42    	-       	
3.37    	12.62   	14.57   	833.90  	-3.19   	2.82    	2.55    	4.45    	-       	
3.44    	0.00    	0.00    	0.00    	-3.19   	2.82    	2.80    	4.42    	-       	
3.53    	0.00    	0.00    	0.00    	-3.19   	2.82    	3.10    	4.41    	-       	
3.61    	0.00    	0.00    	0.00    	-3.19   	2.82    	3.52    	4.51    	-       	
3.67    	0.00    	0.00    	0.00    	-3.19   	2.82    	3.90    	4.48    	-       	
3.74    	0.00    	0.00    	0.00    	-3.19   	2.82    	4.25    	4.50    	-       	
3.81    	0.00    	0.00    	0.00    	-3.19   	2.82    	4.62    	4.51    	-       	
3.88    	5.49    	6.46    	182.44  	-3.19   	2.82    	5.02    	4.50    	-       	
3.95    	7.48    	4.25    	182.99  	-3.19   	2.82    	5.48    	4.43    	-       	
4.03    	4.52    	2.31    	141.01  	-3.19   	2.82    	5.90    	4.37    	-       	
4.09    	9.23    	1.64    	210.12  	-3.19   	2.82    	6.41    	4.37    	-       	
4.16    	8.69    	2.91    	109.15  	-3.19   	2.82    	6.86    	4.32    	-       	
4.23    	9.06    	1.83    	120.84  	-3.19   	2.81    	7.36    	4.33    	-       	
4.31    	9.24    	1.82    	120.84  	-3.19   	2.81    	7.85    	4.32    	-       	
4.37    	0.00    	0.00    	0.00    	-3.19   	2.81    	8.45    	4.36    	-       	
4.45    	-35.30  	17.33   	201.34  	-3.19   	2.81    	8.99    	4.36    	-       	
4.52    	-35.29  	15.05   	202.50  	-3.19   	2.81    	9.61    	4.38    	gaze started: billboard_image_5	
4.61    	-34.78  	17.70   	201.34  	-3.19   	2.82    	10.14   	4.48    	-       	
4.67    	-35.21  	16.81   	201.34  	-3.19   	2.82    	10.85   	4.47    	gaze started: billboard_image_5	
4.74    	-35.56  	17.02   	201.34  	-3.19   	2.82    	11.38   	4.44    	-       	
4.80    	-37.24  	14.29   	202.50  	-3.19   	2.82    	11.91   	4.41    	-       	
4.87    	-33.24  	20.46   	201.34  	-3.19   	2.81    	12.42   	4.33    	-       	
4.94    	-32.73  	21.39   	201.34  	-3.19   	2.81    	12.99   	4.30    	gaze started: billboard_image_5	
5.02    	-32.56  	19.81   	201.34  	-3.19   	2.81    	13.53   	4.30    	-       	
5.08    	-32.31  	20.62   	201.34  	-3.19   	2.81    	14.14   	4.29    	-       	
5.15    	-31.32  	20.26   	201.34  	-3.19   	2.81    	14.65   	4.34    	-       	
5.22    	0.00    	0.00    	0.00    	-3.19   	2.81    	15.21   	0.00    	gaze fixated: billboard_image_5	
5.29    	0.00    	0.00    	0.00    	-3.19   	2.82    	15.75   	0.00    	gaze ended: billboard_image_5	
5.37    	4.49    	4.20    	111.58  	-3.19   	2.82    	16.36   	4.42    	-       	
5.44    	9.30    	6.05    	176.97  	-3.19   	2.82    	16.94   	4.41    	-       	
5.51    	5.31    	2.80    	181.75  	-3.19   	2.82    	17.52   	4.42    	-       	
5.57    	5.58    	2.52    	181.15  	-3.19   	2.81    	18.05   	4.45    	-       	
5.65    	5.45    	2.92    	181.69  	-3.19   	2.81    	18.58   	4.46    	-       	
5.73    	1.63    	4.78    	182.68  	-3.19   	2.81    	19.23   	4.44    	-       	
5.79    	0.00    	0.00    	0.00    	-3.19   	2.81    	19.83   	4.45    	-       	
5.86    	0.00    	0.00    	0.00    	-3.19   	2.81    	20.34   	4.45    	-       	
5.93    	0.00    	0.00    	0.00    	-3.19   	2.81    	20.90   	4.45    	-       	
6.00    	0.00    	0.00    	0.00    	-3.19   	2.81    	21.40   	4.43    	-       	
6.07    	0.00    	0.00    	0.00    	-3.19   	2.81    	21.96   	4.46    	-       	
6.15    	7.10    	1.13    	105.25  	-3.19   	2.81    	22.55   	4.43    	-       	
6.21    	0.00    	0.00    	0.00    	-3.19   	2.81    	23.21   	4.46    	-       	
6.28    	0.00    	0.00    	0.00    	-3.19   	2.81    	23.70   	4.46    	-       	
6.35    	0.00    	0.00    	0.00    	-3.19   	2.81    	24.27   	4.45    	-       	
6.42    	5.34    	0.62    	98.35   	-3.19   	2.81    	24.77   	4.45    	-       	
6.48    	6.24    	0.62    	102.96  	-3.19   	2.81    	25.34   	4.45    	-       	
6.55    	0.00    	0.00    	0.00    	-3.19   	2.81    	25.87   	4.44    	-       	
6.62    	0.00    	0.00    	0.00    	-3.19   	2.81    	26.41   	4.44    	-       	
6.70    	0.00    	0.00    	0.00    	-3.19   	2.82    	26.95   	4.45    	-       	
6.77    	0.00    	0.00    	0.00    	-3.19   	2.82    	27.56   	4.46    	-       	
6.84    	0.00    	0.00    	0.00    	-3.19   	2.81    	28.14   	4.49    	-       	
6.91    	0.00    	0.00    	0.00    	-3.19   	2.81    	28.72   	4.50    	-       	
6.98    	0.00    	0.00    	0.00    	-3.19   	2.82    	29.25   	4.50    	-       	
7.05    	-26.84  	7.77    	202.50  	-3.19   	2.82    	29.88   	4.48    	-       	
7.13    	-29.93  	10.32   	202.50  	-3.19   	2.82    	30.38   	4.46    	-       	
7.20    	-30.27  	10.03   	202.50  	-3.19   	2.82    	31.03   	4.41    	-       	
7.27    	-29.86  	10.06   	202.50  	-3.19   	2.82    	31.63   	4.41    	-       	
7.34    	-39.82  	2.83    	153.15  	-3.19   	2.82    	32.18   	4.43    	-       	
7.42    	-44.46  	3.35    	164.70  	-3.19   	2.82    	32.72   	4.40    	-       	
7.48    	-44.31  	3.22    	164.72  	-3.19   	2.82    	33.34   	4.40    	-       	
7.55    	-42.03  	2.88    	156.37  	-3.19   	2.82    	33.84   	4.39    	-       	
7.61    	-39.12  	2.58    	145.67  	-3.19   	2.82    	34.41   	4.37    	-       	
7.68    	-57.87  	2.05    	202.46  	-3.19   	2.81    	34.90   	4.37    	-       	
7.75    	-57.59  	1.82    	202.46  	-3.19   	2.82    	35.47   	4.37    	-       	
7.84    	-39.13  	2.40    	145.66  	-3.19   	2.81    	36.00   	4.39    	-       	
7.90    	-58.12  	1.83    	202.46  	-3.19   	2.81    	36.72   	4.39    	-       	
7.98    	-42.95  	2.91    	153.03  	-3.19   	2.81    	37.22   	4.61    	-       	
8.05    	0.00    	0.00    	0.00    	-3.19   	2.81    	37.87   	4.16    	-       	
8.12    	4.97    	5.84    	423.65  	-3.19   	2.81    	38.42   	4.49    	-       	
8.18    	0.00    	0.00    	0.00    	-3.19   	2.81    	38.94   	4.49    	-       	
8.25    	0.00    	0.00    	0.00    	-3.19   	2.81    	39.45   	4.51    	-       	
8.32    	0.00    	0.00    	0.00    	-3.19   	2.82    	40.01   	4.53    	-       	
8.40    	6.44    	0.58    	488.37  	-3.19   	2.82    	40.56   	4.45    	-       	
8.46    	4.72    	1.40    	113.21  	-3.19   	2.82    	41.16   	4.42    	-       	
8.53    	5.39    	0.62    	123.70  	-3.19   	2.82    	41.68   	4.42    	-       	
8.59    	4.65    	1.08    	113.17  	-3.19   	2.82    	42.23   	4.39    	-       	
8.66    	3.97    	0.62    	109.98  	-3.19   	2.82    	42.74   	4.37    	-       	
8.73    	21.88   	7.87    	108.46  	-3.19   	2.82    	43.30   	4.39    	-       	
8.80    	21.83   	7.25    	108.65  	-3.19   	2.82    	43.81   	4.37    	-       	
8.88    	21.95   	7.10    	108.67  	-3.19   	2.82    	44.36   	4.39    	-       	
8.95    	21.78   	6.87    	108.46  	-3.19   	2.82    	45.03   	4.36    	-       	
9.01    	21.74   	6.51    	108.46  	-3.19   	2.82    	45.61   	4.32    	-       	
9.07    	21.74   	6.51    	108.46  	-3.19   	2.82    	46.10   	4.26    	-       	
