seconds 	point x 	point y 	point z 	position x	position y	position z	pupil diameter	flag    	

0.07    	5.69    	0.62    	106.63  	-3.24   	2.83    	0.50    	2.92    	-       	
0.14    	5.01    	0.62    	100.61  	-3.24   	2.83    	0.50    	2.93    	-       	
0.21    	4.76    	0.53    	97.32   	-3.24   	2.83    	0.50    	2.93    	-       	
0.28    	0.00    	0.00    	0.00    	-3.24   	2.83    	0.50    	2.91    	-       	
0.34    	2.00    	0.62    	63.22   	-3.24   	2.83    	0.50    	2.97    	-       	
0.42    	0.00    	0.00    	0.00    	-3.24   	2.83    	0.50    	3.06    	-       	
0.50    	-7.39   	2.41    	11.89   	-3.25   	2.83    	0.50    	3.11    	-       	
0.59    	-7.50   	2.45    	11.89   	-3.25   	2.83    	0.50    	3.12    	-       	
0.65    	-7.34   	2.50    	11.89   	-3.26   	2.83    	0.50    	3.20    	-       	
0.72    	-28.37  	1.97    	41.24   	-3.26   	2.83    	0.50    	3.26    	-       	
0.78    	-21.16  	2.28    	29.89   	-3.26   	2.83    	0.50    	3.24    	-       	
0.85    	-21.25  	2.12    	29.84   	-3.27   	2.83    	0.50    	3.15    	-       	
0.92    	-28.14  	1.97    	41.68   	-3.27   	2.83    	0.50    	3.21    	-       	
0.99    	-27.72  	1.93    	41.73   	-3.27   	2.83    	0.50    	3.16    	-       	
1.05    	-27.11  	1.74    	42.04   	-3.27   	2.83    	0.50    	3.20    	-       	
1.12    	0.00    	0.00    	0.00    	-3.27   	2.83    	0.50    	3.23    	-       	
1.19    	0.00    	0.00    	0.00    	-3.27   	2.83    	0.50    	3.17    	-       	
1.26    	0.00    	0.00    	0.00    	-3.26   	2.83    	0.50    	3.16    	-       	
1.32    	0.00    	0.00    	0.00    	-3.26   	2.83    	0.50    	3.19    	-       	
1.39    	5.02    	0.62    	56.87   	-3.25   	2.83    	0.50    	3.26    	-       	
1.45    	9.53    	0.70    	120.52  	-3.25   	2.83    	0.50    	3.24    	-       	
1.53    	0.00    	0.00    	0.00    	-3.25   	2.83    	0.50    	3.26    	-       	
1.60    	1.82    	0.57    	49.30   	-3.25   	2.83    	0.50    	3.21    	-       	
1.68    	2.61    	0.62    	51.42   	-3.25   	2.83    	0.50    	3.18    	-       	
1.74    	7.77    	0.62    	58.31   	-3.25   	2.83    	0.50    	3.25    	-       	
1.81    	8.72    	0.83    	45.29   	-3.24   	2.83    	0.50    	3.33    	-       	
1.87    	8.72    	0.86    	46.13   	-3.24   	2.83    	0.50    	3.34    	-       	
1.94    	8.72    	1.24    	45.51   	-3.24   	2.83    	0.50    	3.35    	-       	
2.01    	8.72    	1.05    	46.15   	-3.24   	2.83    	0.52    	3.37    	-       	
2.08    	8.18    	0.62    	43.23   	-3.24   	2.83    	0.56    	3.39    	-       	
2.14    	8.72    	0.62    	47.07   	-3.24   	2.83    	0.61    	3.39    	-       	
2.21    	8.82    	0.62    	57.38   	-3.24   	2.83    	0.69    	3.47    	-       	
2.27    	0.00    	0.00    	0.00    	-3.24   	2.83    	0.78    	3.39    	-       	
2.34    	1.82    	0.52    	66.75   	-3.24   	2.83    	0.87    	3.43    	-       	
2.41    	0.00    	0.00    	0.00    	-3.24   	2.83    	1.01    	3.44    	-       	
2.48    	0.00    	0.00    	0.00    	-3.24   	2.83    	1.15    	3.48    	-       	
2.54    	0.00    	0.00    	0.00    	-3.24   	2.83    	1.31    	3.50    	-       	
2.63    	0.00    	0.00    	0.00    	-3.24   	2.83    	1.48    	3.55    	-       	
2.70    	2.81    	0.62    	52.06   	-3.24   	2.83    	1.76    	3.45    	-       	
2.76    	2.85    	0.62    	54.63   	-3.24   	2.83    	1.98    	3.44    	-       	
2.82    	3.14    	0.62    	57.27   	-3.24   	2.83    	2.21    	3.42    	-       	
2.89    	2.70    	0.62    	52.85   	-3.24   	2.83    	2.44    	3.39    	-       	
2.95    	2.69    	0.62    	51.33   	-3.24   	2.83    	2.69    	3.41    	-       	
3.02    	3.01    	0.62    	54.38   	-3.24   	2.83    	2.95    	3.42    	-       	
3.08    	3.36    	0.62    	50.75   	-3.24   	2.83    	3.28    	3.50    	-       	
3.14    	3.44    	0.62    	50.64   	-3.24   	2.83    	3.56    	3.42    	-       	
3.21    	3.17    	0.62    	49.57   	-3.24   	2.83    	3.88    	3.43    	-       	
3.28    	2.94    	0.62    	48.49   	-3.24   	2.83    	4.22    	3.45    	-       	
3.34    	2.91    	0.62    	48.81   	-3.24   	2.83    	4.60    	3.44    	-       	
3.41    	0.00    	0.00    	0.00    	-3.24   	2.83    	4.95    	3.55    	-       	
3.47    	-21.19  	1.01    	55.27   	-3.24   	2.83    	5.39    	3.50    	-       	
3.54    	-22.46  	0.62    	60.80   	-3.24   	2.83    	5.77    	3.47    	-       	
3.60    	-21.80  	0.62    	57.38   	-3.25   	2.83    	6.26    	3.43    	-       	
3.68    	-22.36  	0.62    	59.99   	-3.25   	2.83    	6.66    	3.45    	-       	
3.75    	-27.37  	1.22    	58.80   	-3.25   	2.83    	7.18    	3.56    	-       	
3.81    	-27.10  	1.41    	58.80   	-3.25   	2.83    	7.72    	3.49    	-       	
3.87    	-27.37  	1.53    	58.80   	-3.25   	2.83    	8.19    	3.47    	-       	
3.94    	-27.27  	1.51    	58.80   	-3.25   	2.83    	8.70    	3.43    	-       	
4.01    	-40.70  	0.62    	168.09  	-3.25   	2.83    	9.25    	3.39    	-       	
4.08    	-37.46  	0.62    	149.89  	-3.25   	2.83    	9.74    	3.40    	-       	
4.14    	-37.93  	0.62    	149.15  	-3.25   	2.83    	10.31   	3.40    	-       	
4.20    	-38.16  	0.70    	150.27  	-3.25   	2.83    	10.79   	3.42    	-       	
4.26    	0.00    	0.00    	0.00    	-3.25   	2.83    	11.29   	3.43    	-       	
4.33    	0.00    	0.00    	0.00    	-3.25   	2.83    	11.80   	3.44    	-       	
4.39    	0.00    	0.00    	0.00    	-3.25   	2.83    	12.36   	3.37    	-       	
4.47    	0.00    	0.00    	0.00    	-3.25   	2.83    	12.84   	3.35    	-       	
4.53    	0.00    	0.00    	0.00    	-3.25   	2.83    	13.43   	3.34    	-       	
4.60    	0.00    	0.00    	0.00    	-3.25   	2.83    	13.92   	3.36    	-       	
4.66    	0.00    	0.00    	0.00    	-3.25   	2.83    	14.49   	3.38    	-       	
4.72    	0.00    	0.00    	0.00    	-3.25   	2.83    	14.97   	3.39    	-       	
4.80    	0.00    	0.00    	0.00    	-3.25   	2.83    	15.47   	3.37    	-       	
4.87    	10.04   	1.49    	120.52  	-3.25   	2.83    	16.08   	3.37    	-       	
4.93    	0.00    	0.00    	0.00    	-3.25   	2.83    	16.63   	3.37    	-       	
4.99    	8.21    	0.62    	96.43   	-3.25   	2.83    	17.10   	3.33    	-       	
5.05    	0.00    	0.00    	0.00    	-3.25   	2.83    	17.60   	3.29    	-       	
5.12    	0.00    	0.00    	0.00    	-3.25   	2.83    	18.08   	3.30    	-       	
5.18    	0.00    	0.00    	0.00    	-3.25   	2.83    	18.67   	3.27    	-       	
5.24    	0.00    	0.00    	0.00    	-3.25   	2.83    	19.12   	3.24    	-       	
5.30    	0.00    	0.00    	0.00    	-3.25   	2.83    	19.65   	3.22    	-       	
5.37    	0.00    	0.00    	0.00    	-3.25   	2.83    	20.13   	3.17    	-       	
5.43    	0.00    	0.00    	0.00    	-3.25   	2.83    	20.63   	3.17    	-       	
5.50    	5.49    	0.62    	70.46   	-3.25   	2.83    	21.14   	3.25    	-       	
5.56    	0.00    	0.00    	0.00    	-3.25   	2.83    	21.69   	3.25    	-       	
