Participant ID: sub029 
billboard_image_1 views: 0     total time: 0        avg time: 0       
billboard_image_10 views: 2     total time: 4.36     avg time: 2.18    
billboard_image_11 views: 1     total time: 2.5      avg time: 2.5     
billboard_image_12 views: 4     total time: 3.02     avg time: 0.76    
billboard_image_13 views: 3     total time: 1.38     avg time: 0.46    
billboard_image_14 views: 1     total time: 1.65     avg time: 1.65    
billboard_image_15 views: 2     total time: 1.3      avg time: 0.65    
billboard_image_16 views: 0     total time: 0        avg time: 0       
billboard_image_17 views: 1     total time: 1.75     avg time: 1.75    
billboard_image_18 views: 7     total time: 3.87     avg time: 0.55    
billboard_image_19 views: 1     total time: 1.39     avg time: 1.39    
billboard_image_2 views: 2     total time: 1.9      avg time: 0.95    
billboard_image_20 views: 2     total time: 1.16     avg time: 0.58    
billboard_image_21 views: 2     total time: 2.66     avg time: 1.33    
billboard_image_22 views: 2     total time: 3.14     avg time: 1.57    
billboard_image_23 views: 5     total time: 2.53     avg time: 0.51    
billboard_image_24 views: 3     total time: 1.93     avg time: 0.64    
billboard_image_25 views: 3     total time: 1.13     avg time: 0.38    
billboard_image_26 views: 2     total time: 0.68     avg time: 0.34    
billboard_image_27 views: 0     total time: 0        avg time: 0       
billboard_image_28 views: 2     total time: 1.14     avg time: 0.57    
billboard_image_29 views: 2     total time: 1.22     avg time: 0.61    
billboard_image_3 views: 0     total time: 0        avg time: 0       
billboard_image_30 views: 4     total time: 3.05     avg time: 0.76    
billboard_image_31 views: 2     total time: 1.59     avg time: 0.8     
billboard_image_32 views: 0     total time: 0        avg time: 0       
billboard_image_33 views: 3     total time: 1.57     avg time: 0.52    
billboard_image_34 views: 1     total time: 1.48     avg time: 1.48    
billboard_image_35 views: 0     total time: 0        avg time: 0       
billboard_image_36 views: 1     total time: 0.66     avg time: 0.66    
billboard_image_37 views: 1     total time: 0.6      avg time: 0.6     
billboard_image_38 views: 3     total time: 1.72     avg time: 0.57    
billboard_image_39 views: 2     total time: 1.23     avg time: 0.62    
billboard_image_4 views: 0     total time: 0        avg time: 0       
billboard_image_40 views: 2     total time: 0.7      avg time: 0.35    
billboard_image_5 views: 3     total time: 2.18     avg time: 0.73    
billboard_image_6 views: 1     total time: 1.22     avg time: 1.22    
billboard_image_7 views: 1     total time: 1.1      avg time: 1.1     
billboard_image_8 views: 1     total time: 2.31     avg time: 2.31    
billboard_image_9 views: 2     total time: 0.97     avg time: 0.49    
check_gaze     views: 1     total time: 2.09     avg time: 2.09    

Time line: 
billboard_image_2 6.82 
billboard_image_5 8.11 
billboard_image_2 11.47 
billboard_image_5 13.20 
billboard_image_5 14.04 
billboard_image_1 28.69 
billboard_image_7 30.60 
billboard_image_4 32.42 
billboard_image_3 34.31 
billboard_image_4 38.48 
billboard_image_10 40.78 
billboard_image_10 41.26 
billboard_image_11 46.89 
billboard_image_13 49.70 
billboard_image_12 53.65 
billboard_image_12 55.39 
billboard_image_12 56.62 
billboard_image_12 57.18 
billboard_image_13 58.96 
billboard_image_15 59.45 
billboard_image_15 60.89 
billboard_image_13 62.21 
billboard_image_14 63.26 
billboard_image_18 68.33 
billboard_image_18 69.20 
billboard_image_18 72.50 
billboard_image_18 73.27 
billboard_image_20 73.93 
billboard_image_18 74.70 
billboard_image_18 75.16 
billboard_image_18 76.91 
billboard_image_17 78.31 
billboard_image_20 81.39 
billboard_image_19 83.77 
billboard_image_16 85.34 
billboard_image_16 87.11 
billboard_image_24 89.40 
billboard_image_23 89.87 
billboard_image_24 90.57 
billboard_image_22 92.50 
billboard_image_22 95.09 
billboard_image_24 96.90 
billboard_image_25 98.09 
billboard_image_25 99.28 
billboard_image_23 100.10 
billboard_image_23 100.65 
billboard_image_23 101.59 
billboard_image_23 102.74 
billboard_image_26 105.14 
billboard_image_25 106.88 
billboard_image_26 109.02 
billboard_image_28 119.03 
billboard_image_28 119.99 
billboard_image_29 121.78 
billboard_image_29 122.81 
billboard_image_30 126.38 
billboard_image_30 128.44 
billboard_image_30 130.93 
billboard_image_30 131.57 
billboard_image_31 134.01 
billboard_image_31 136.09 
billboard_image_33 141.10 
billboard_image_33 142.53 
billboard_image_33 142.99 
billboard_image_34 146.15 
billboard_image_36 153.57 
billboard_image_32 157.92 
billboard_image_39 160.24 
billboard_image_38 161.43 
billboard_image_38 161.72 
billboard_image_38 162.25 
billboard_image_40 163.55 
billboard_image_39 164.58 
billboard_image_40 166.31 
