Participant ID: sub035 
billboard_image_1 views: 1     total time: 0.4      avg time: 0.4     
billboard_image_10 views: 2     total time: 0.86     avg time: 0.43    
billboard_image_11 views: 5     total time: 1.98     avg time: 0.4     
billboard_image_12 views: 1     total time: 1.67     avg time: 1.67    
billboard_image_13 views: 3     total time: 1.63     avg time: 0.54    
billboard_image_14 views: 2     total time: 1.94     avg time: 0.97    
billboard_image_15 views: 2     total time: 0.85     avg time: 0.43    
billboard_image_16 views: 0     total time: 0        avg time: 0       
billboard_image_17 views: 3     total time: 1.11     avg time: 0.37    
billboard_image_18 views: 2     total time: 0.83     avg time: 0.41    
billboard_image_19 views: 2     total time: 0.83     avg time: 0.42    
billboard_image_2 views: 0     total time: 0        avg time: 0       
billboard_image_20 views: 5     total time: 3.44     avg time: 0.69    
billboard_image_21 views: 3     total time: 1.4      avg time: 0.47    
billboard_image_22 views: 1     total time: 0.36     avg time: 0.36    
billboard_image_23 views: 2     total time: 0.62     avg time: 0.31    
billboard_image_24 views: 2     total time: 1.97     avg time: 0.99    
billboard_image_25 views: 4     total time: 1.33     avg time: 0.33    
billboard_image_26 views: 3     total time: 2.58     avg time: 0.86    
billboard_image_27 views: 5     total time: 3.14     avg time: 0.63    
billboard_image_28 views: 2     total time: 2.6      avg time: 1.3     
billboard_image_29 views: 2     total time: 1.08     avg time: 0.54    
billboard_image_3 views: 0     total time: 0        avg time: 0       
billboard_image_30 views: 3     total time: 2.27     avg time: 0.76    
billboard_image_31 views: 0     total time: 0        avg time: 0       
billboard_image_32 views: 1     total time: 2.57     avg time: 2.57    
billboard_image_33 views: 3     total time: 2.23     avg time: 0.74    
billboard_image_34 views: 1     total time: 0.77     avg time: 0.77    
billboard_image_35 views: 4     total time: 4.74     avg time: 1.18    
billboard_image_36 views: 3     total time: 0.95     avg time: 0.32    
billboard_image_37 views: 1     total time: 2.02     avg time: 2.02    
billboard_image_38 views: 2     total time: 0.8      avg time: 0.4     
billboard_image_39 views: 1     total time: 0.29     avg time: 0.29    
billboard_image_4 views: 0     total time: 0        avg time: 0       
billboard_image_40 views: 1     total time: 1.38     avg time: 1.38    
billboard_image_5 views: 1     total time: 0.57     avg time: 0.57    
billboard_image_6 views: 2     total time: 1.68     avg time: 0.84    
billboard_image_7 views: 0     total time: 0        avg time: 0       
billboard_image_8 views: 2     total time: 2.15     avg time: 1.08    
billboard_image_9 views: 2     total time: 1.16     avg time: 0.58    
check_gaze     views: 0     total time: 0        avg time: 0       

Time line: 
billboard_image_1 3.17 
billboard_image_5 20.40 
billboard_image_6 33.87 
billboard_image_6 34.41 
billboard_image_8 39.17 
billboard_image_4 42.08 
billboard_image_8 48.11 
billboard_image_4 52.29 
billboard_image_10 56.45 
billboard_image_10 57.02 
billboard_image_11 59.00 
billboard_image_11 59.64 
billboard_image_11 60.25 
billboard_image_11 61.16 
billboard_image_11 61.66 
billboard_image_15 64.39 
billboard_image_2 70.66 
billboard_image_13 73.67 
billboard_image_13 77.92 
billboard_image_13 80.96 
billboard_image_14 82.93 
billboard_image_14 85.76 
billboard_image_15 88.12 
billboard_image_18 92.93 
billboard_image_21 95.67 
billboard_image_17 99.85 
billboard_image_17 100.18 
billboard_image_17 100.64 
billboard_image_18 102.69 
billboard_image_20 105.19 
billboard_image_19 106.57 
billboard_image_19 106.93 
billboard_image_16 110.26 
billboard_image_20 111.88 
billboard_image_20 113.26 
billboard_image_20 113.76 
billboard_image_16 114.58 
billboard_image_20 116.30 
billboard_image_22 119.12 
billboard_image_23 119.91 
billboard_image_23 121.57 
billboard_image_24 124.53 
billboard_image_24 129.21 
billboard_image_25 130.58 
billboard_image_26 133.78 
billboard_image_26 134.11 
billboard_image_25 136.49 
billboard_image_25 137.24 
billboard_image_25 137.73 
billboard_image_26 140.09 
billboard_image_27 143.79 
billboard_image_27 144.88 
billboard_image_28 146.01 
billboard_image_27 148.41 
billboard_image_27 149.88 
billboard_image_27 150.60 
billboard_image_28 153.04 
billboard_image_29 154.41 
billboard_image_29 156.51 
billboard_image_30 159.97 
billboard_image_30 160.71 
billboard_image_30 162.36 
billboard_image_32 171.96 
billboard_image_33 175.84 
billboard_image_33 176.52 
billboard_image_33 178.10 
billboard_image_34 179.28 
billboard_image_36 180.48 
billboard_image_36 181.90 
billboard_image_35 182.75 
billboard_image_35 185.38 
billboard_image_35 186.56 
billboard_image_35 188.23 
billboard_image_36 194.19 
billboard_image_37 198.45 
billboard_image_38 201.08 
billboard_image_38 201.73 
billboard_image_39 210.86 
billboard_image_40 214.42 
