,subj,condition,recall_passed_fixated_first,recall_fixated_incepted,recall_repeated_forgone,recall_forgone,recognition_passed_fixated_first,recognition_fixated_incepted,recognition_repeated_forgone,recognition_forgone,recall_glanced,recognition_glanced,,FREE VIEWING,,,,,TRASH,,,
0,sub001,Free_Viewing,0.06,0.29,0.00,0.00,0.41,0.71,,0.00,0.17,0.46,,0.058823529,0.285714286,0,0,,,,,
1,sub002,Count_trash_bins,0.00,0.20,0.00,0.00,0.33,0.40,0.00,0.00,0.17,0.47,,,,,,,0,0.2,0,0
2,sub003,Free_Viewing,0.21,0.40,0.00,0.00,0.50,0.60,,0.50,0.25,0.57,,0.214285714,0.4,0,0,,,,,
3,sub004,Count_trash_bins,0.00,0.00,0.00,0.00,0.00,,0.20,0.07,0.00,0.54,,,,,,,0,0,0,0
4,sub005,Free_Viewing,0.13,0.17,0.00,0.00,0.94,0.83,,0.29,0.24,0.83,,0.125,0.166666667,0,0,,,,,
5,sub006,Free_Viewing,0.38,0.00,0.00,0.00,0.13,0.00,1.00,0.00,0.35,0.03,,0.375,0,0,0,,,,,
6,sub007,Free_Viewing,0.10,1.00,0.00,0.00,0.67,1.00,,0.00,0.32,0.75,,0.1,1,0,0,,,,,
7,sub008,Count_trash_bins,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.07,0.31,0.03,,,,,,,0.2,0,0,0
8,sub009,Free_Viewing,0.04,0.00,0.00,0.00,0.56,0.67,,0.25,0.02,0.56,,0.04,0,0,0,,,,,
9,sub010,Count_trash_bins,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.02,,,,,,,0,0,0,0
10,sub011,Free_Viewing,0.20,0.20,0.00,0.00,0.40,0.20,,0.00,0.23,0.31,,0.2,0.2,0,0,,,,,
11,sub012,Count_trash_bins,0.20,0.50,0.00,0.00,0.20,0.50,0.00,0.17,0.26,0.34,,,,,,,0.2,0.5,0,0
12,sub013,Free_Viewing,0.00,0.00,0.00,0.00,,1.00,0.00,0.00,0.11,0.21,,0,0,0,0,,,,,
13,sub014,Count_trash_bins,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0
14,sub015,Count_trash_bins,0.67,0.50,0.20,0.00,1.00,1.00,0.20,0.25,0.69,0.77,,,,,,,0.666666667,0.5,0.2,0
15,sub016,Count_trash_bins,0.17,0.67,0.00,0.00,0.33,0.67,0.00,0.07,0.51,0.57,,,,,,,0.166666667,0.666666667,0,0
16,sub017,Free_Viewing,0.13,0.33,0.00,0.00,0.58,0.33,,0.00,0.19,0.48,,0.129032258,0.333333333,0,0,,,,,
17,sub018,Count_trash_bins,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0
18,sub019,Free_Viewing,0.18,0.40,0.00,0.00,0.64,0.60,,0.13,0.28,0.57,,0.181818182,0.4,0,0,,,,,
19,sub020,Count_trash_bins,0.00,0.00,0.25,0.00,0.00,0.00,0.25,0.00,0.03,0.03,,,,,,,0,0,0.25,0
20,sub021,Free_Viewing,0.22,0.25,0.00,0.00,0.50,0.50,,0.17,0.24,0.62,,0.222222222,0.25,0,0,,,,,
21,sub022,Count_trash_bins,0.00,0.14,0.00,0.00,0.00,0.14,0.00,0.00,0.10,0.10,,,,,,,0,0.142857143,0,0
22,sub023,Free_Viewing,0.15,0.50,0.00,0.14,0.90,1.00,,0.14,0.39,0.87,,0.15,0.5,0,0.142857143,,,,,
23,sub024,Count_trash_bins,0.00,0.33,0.25,0.00,0.33,0.67,0.25,0.27,0.40,0.70,,,,,,,0,0.333333333,0.25,0
